Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),ShareVolume
07-12-19,1.8,1.8,1.7,1.7,248501
07-11-19,1.8,1.9,1.7,1.8,3466304
07-10-19,1.7,1.8,1.7,1.7,146746
07-09-19,1.7,1.8,1.6,1.7,2052383
07-08-19,1.6,1.8,1.6,1.7,1784679
07-05-19,1.6,1.7,1.5,1.6,2033267
07-04-19,1.6,1.6,1.5,1.5,51417
07-03-19,1.5,1.6,1.5,1.5,28921
07-02-19,1.5,1.6,1.4,1.4,3607
07-01-19,1.5,1.6,1.5,1.5,196440
6/28/19,1.5,1.6,1.4,1.5,316799
6/27/19,1.6,1.6,1.5,1.6,31127
6/26/19,1.5,1.6,1.5,1.5,166881
6/25/19,1.5,1.5,1.4,1.5,190690
6/24/19,1.5,1.6,1.5,1.5,170053
6/21/19,1.5,1.6,1.5,1.5,41401
6/20/19,1.5,1.5,1.5,1.5,8622
6/19/19,1.5,1.6,1.5,1.5,128301
6/18/19,1.5,1.6,1.5,1.6,259665
6/17/19,1.6,1.6,1.5,1.6,72810
6/14/19,1.5,1.6,1.5,1.6,318138
6/13/19,1.5,1.6,1.5,1.5,197615
06-12-19,1.5,1.6,1.4,1.5,345740
06-11-19,1.5,1.5,1.4,1.5,19011
06-10-19,1.5,1.5,1.4,1.5,12230
06-07-19,1.6,1.6,1.5,1.5,190349
06-06-19,1.6,1.6,1.5,1.5,67100
06-04-19,1.6,1.6,1.5,1.5,39518
06-03-19,1.6,1.6,1.5,1.6,140502
5/31/19,1.6,1.7,1.5,1.6,289602
5/30/19,1.6,1.7,1.6,1.7,176003
5/29/19,1.6,1.7,1.5,1.6,125137
5/28/19,1.6,1.7,1.5,1.6,462197
5/27/19,1.5,1.8,1.5,1.6,2870311
5/24/19,1.4,1.5,1.4,1.4,723608
5/23/19,1.3,1.4,1.3,1.3,199055
5/22/19,1.4,1.4,1.3,1.3,220942
5/21/19,1.4,1.4,1.3,1.4,2940
5/17/19,1.3,1.4,1.3,1.4,31101
5/16/19,1.3,1.4,1.3,1.3,52677
5/15/19,1.3,1.3,1.2,1.2,312661
5/14/19,1.3,1.4,1.3,1.3,99813
5/13/19,1.4,1.4,1.3,1.4,9900
05-10-19,1.4,1.5,1.3,1.4,102521
05-09-19,1.3,1.5,1.3,1.4,32504
05-08-19,1.5,1.5,1.3,1.4,12010
05-07-19,1.5,1.5,1.3,1.4,138900
05-06-19,1.4,1.5,1.4,1.4,351163
05-03-19,1.5,1.6,1.5,1.5,43719
05-02-19,1.5,1.5,1.5,1.5,265939
4/30/19,1.6,1.6,1.5,1.5,7141
4/29/19,1.6,1.6,1.4,1.5,812961
4/26/19,1.5,1.6,1.5,1.6,5500
4/25/19,1.5,1.6,1.5,1.6,1114
4/24/19,1.4,1.6,1.4,1.6,45628
4/23/19,1.5,1.5,1.4,1.4,140423
4/18/19,1.6,1.6,1.5,1.6,16313
4/17/19,1.6,1.6,1.6,1.6,1
4/16/19,1.6,1.6,1.6,1.6,9516
04-12-19,1.5,1.6,1.5,1.6,190705
04-11-19,1.6,1.6,1.5,1.5,509012
04-10-19,1.6,1.7,1.6,1.6,14302
04-09-19,1.7,1.7,1.7,1.6,5
04-08-19,1.6,1.7,1.6,1.6,1641
04-05-19,1.7,1.7,1.6,1.6,7201
04-04-19,1.7,1.7,1.7,1.7,4001
04-03-19,1.7,1.7,1.6,1.6,13059
04-02-19,1.7,1.7,1.6,1.6,13006
04-01-19,1.6,1.7,1.5,1.6,31742
3/29/19,1.6,1.6,1.5,1.5,45719
3/28/19,1.6,1.7,1.5,1.6,309497
3/27/19,1.6,1.7,1.6,1.6,142229
3/26/19,1.6,1.7,1.6,1.6,257384
3/25/19,1.6,1.6,1.6,1.6,6072
3/22/19,1.5,1.6,1.5,1.6,152523
3/21/19,1.5,1.5,1.5,1.5,7500
3/19/19,1.6,1.7,1.5,1.5,195900
3/18/19,1.7,1.7,1.6,1.7,251
3/15/19,1.6,1.6,1.6,1.6,118542
3/14/19,1.6,1.6,1.6,1.6,117000
3/13/19,1.6,1.7,1.6,1.6,35631
03-12-19,1.6,1.7,1.6,1.6,28076
03-11-19,1.7,1.7,1.6,1.7,27715
03-08-19,1.7,1.8,1.6,1.7,320920
