Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),ShareVolume
1/18/19,1420,1420,1408,1420,22
1/17/19,1420,1420,1410,1420,201
1/16/19,1410.1,1420,1410,1410.1,500
1/14/19,1410.2,1450,1450,1410.2,1
01-11-19,1410.2,1429.9,1409,1410.2,1069
01-10-19,1430,1410,1410,1430,50
01-09-19,1430,1460,1430,1430,7548
01-08-19,1430.3,1460,1430.2,1430.3,1003
01-07-19,1430.1,1460,1430,1430.1,2086
01-04-19,1460,1440,1440,1460,12
01-03-19,1460,1440,1430,1460,7
01-02-19,1460,1499,1450,1460,230
12/31/18,1415,1450,1400,1415,1000
12/28/18,1401.6,1450,1400,1401.6,345
12/26/18,1424,1430,1430,1424,32
12/24/18,1424,1450,1450,1424,2
12/21/18,1424,1450,1450,1424,142570
12/20/18,1424,1424.2,1424,1424,37298
12/19/18,1496.7,1500,1450,1496.7,76
12/18/18,1496.7,1500,1500,1496.7,1
12/17/18,1496.7,1500,1475,1496.7,115
12/14/18,1435,1449.9,1449,1435,25
12/13/18,1435,1440.5,1435,1435,9
12-12-18,1435,1435.1,1435,1435,145
12-11-18,1424.6,1415,1415,1424.6,4
12-10-18,1424.6,1425,1415,1424.6,170
12-07-18,1439.9,1439.9,1415,1439.9,5830
12-05-18,1415,1400.6,1400.6,1415,11
12-03-18,1415,1439.9,1410,1415,9868
11/30/18,1409.9,1420,1400,1409.9,1751
11/29/18,1400.1,1405,1400,1400.1,480
11/28/18,1400,1400.2,1400,1400,460
11/27/18,1400.2,1410,1410,1400.2,1
11/26/18,1400.2,1400.2,1400.2,1400.2,250
11/23/18,1400.2,1410,1400,1400.2,26
11/21/18,1400.2,1403,1400,1400.2,1307
11/19/18,1403,1430,1400.1,1403,1091
11/16/18,1401.1,1411,1400,1401.1,100
11/15/18,1424,1420,1420,1424,5
11/14/18,1424,,,1424,276285
11/13/18,1424,1426,1424,1424,298
11-12-18,1425,1425,1410,1425,1117
11-09-18,1416.5,1420,1400,1416.5,250
11-08-18,1400,1405,1400,1400,2536
11-07-18,1400,1400,1400,1400,18872
11-05-18,1385.8,1386,1385.1,1385.8,91
11-02-18,1385.8,1392,1385,1385.8,167
11-01-18,1385.8,1410,1391,1385.8,12
10/31/18,1385.8,1390,1390,1385.8,1
10/30/18,1385.8,1390,1389.9,1385.8,97
10/29/18,1385.8,1390,1370,1385.8,19
10/25/18,1385.8,1425,1380,1385.8,7126
10/23/18,1381,1385,1381,1381,200
10/22/18,1381,1381,1381,1381,160
10/19/18,1380.2,1381.1,1381,1380.2,10
10/18/18,1380.2,1400,1381.1,1380.2,5
10/17/18,1380.2,1410,1380,1380.2,908
10/16/18,1385.5,1400,1375,1385.5,313
10/15/18,1372.8,1375,1365,1372.8,651
10-12-18,1375.2,1379.9,1375,1375.2,105
10-11-18,1375,1375,1375,1375,24441
10-10-18,1375,1376,1370,1375,6048
10-08-18,1374.7,1375,1375,1374.7,38
10-05-18,1374.7,1370,1360,1374.7,11
10-04-18,1374.7,1375,1350,1374.7,4935
10-03-18,1358.1,1370,1358,1358.1,823
10-02-18,1373.5,1375,1360,1373.5,5719
10-01-18,1358,1358.1,1358.1,1358,6
9/28/18,1360,1360,1358,1358,262
9/27/18,1355.2,1355.2,1355.2,1355,10
9/25/18,1355,1355,1355,1355,200
9/21/18,1374.5,1375,1374.5,1375,257
9/20/18,1374,1375,1360,1374.2,1787
9/19/18,1370,1375,1350.6,1375,11636
9/18/18,1351,1375,1350.2,1375,2747
9/17/18,1250.2,1350.1,1250.2,1350.1,2815
9/14/18,1250,1250,1250,1326,28360
9/13/18,1326,1326,1326,1326,1
09-12-18,1325,1326,1325,1326,569
09-11-18,1350,1350,1325,1349.9,1300
09-10-18,1351,1351,1325,1345.6,13333
09-06-18,1351.1,1351.1,1351.1,1350.3,12
09-05-18,1385,1385,1350,1350.3,2435
09-04-18,1350,1375,1350,1375,14070
09-03-18,1340,1350,1340,1341.7,665
8/31/18,1339,1339,1339,1339,10000
8/30/18,1325,1330,1325,1330,16092
8/29/18,1300,1325,1300,1324.6,2603
8/28/18,1299,1310,1299,1300,5713
8/27/18,1325,1325,1325,1325,2
8/24/18,1325,1342,1324,1325,30955
8/23/18,1303,1330,1300,1300.2,10027
8/21/18,1300,1306.5,1280,1300.8,78368
8/20/18,1295,1295,1240,1268.4,324
8/17/18,1290,1290,1251.1,1251.9,213
8/16/18,1270,1290,1270,1280.3,31638
8/15/18,1250,1269.9,1240,1250.2,268
8/14/18,1260,1260,1250.1,1259.9,10088
8/13/18,1240,1250,1240,1246,124
08-10-18,1230,1270,1230,1230,23449
08-09-18,1230,1245,1230,1230.1,40486
08-08-18,1205,1220,1205,1215.1,388
08-07-18,1203,1203.5,1203,1203.5,13115
08-06-18,1200,1225,1200,1224.7,4644
08-03-18,1201,1224.9,1200,1202.7,6960
08-02-18,1190,1225,1190,1196.4,66
08-01-18,1195,1200,1175,1196.4,10949
7/31/18,1164,1180,1164,1175.5,366
7/30/18,1160,1164,1160,1160,880
7/26/18,1160,1165,1160,1160,10127
7/25/18,1136.2,1150,1136.2,1150,500
7/24/18,1154,1164,1136,1159.5,757
7/23/18,1131,1134.1,1131,1132.6,157
7/20/18,1150,1154.4,1150,1150.8,124
7/19/18,1145,1155,1135.1,1150,16440
7/18/18,1140,1140,1140,1140,10000
7/17/18,1135,1140,1135,1135.5,330
7/16/18,1130,1135,1130,1149.4,84
7/13/18,1155,1155,1121,1149.4,20
07-12-18,1148.5,1150,1148.5,1149.4,509
07-11-18,1130,1140,1130,1130,10002
07-10-18,1120,1125,1120,1120,392
07-09-18,1149,1149,1149,1113.9,1
07-06-18,1110,1149,1110,1113.9,1252
07-05-18,1101,1130,1100,1113.1,612
07-04-18,1120,1120,1101,1100.1,20
07-03-18,1100,1100.1,1100,1100.1,1200
07-02-18,1130,1130,1110,1110,1100
6/29/18,1120,1130,1120,1121.7,1119
6/28/18,1110,1120.1,1110,1120,18242
6/26/18,1110,1125,1110,1111,1404
6/25/18,1124.9,1125,1110,1119.9,9723
6/22/18,1120,1120,1100.2,1111.5,23613
6/21/18,1100.1,1120,1100.1,1120,205
6/20/18,1100,1100.1,1100,1100.1,14570
6/19/18,1100,1118,1100,1100.1,783
6/18/18,1112.5,1120,1112.5,1118.2,1456
6/14/18,1100,1100,1090.2,1118.7,3
06-12-18,1099.9,1120,1099.9,1118.7,37088
06-11-18,1088,1090.1,1088,1100,46
06-08-18,1100,1105,1100,1100,460
06-07-18,1095,1100,1087,1080.8,34
06-06-18,1086,1086,1086,1080.8,35
06-05-18,1079.9,1090,1079.9,1080.8,230
06-04-18,1070,1070,1070,1070,79
06-01-18,1080,1080,1070,1070,200
5/31/18,1070,1080,1070,1077.9,727
5/30/18,1075,1098.9,1061.1,1074.1,5395
