Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),ShareVolume
5/20/20,3.3,3.3,2.9,3,250504
5/19/20,3,3.2,3,3.1,136210
5/18/20,3.2,3.2,2.9,3.1,78186
5/15/20,2.9,3,2.9,3,151371
5/14/20,2.8,2.8,2.7,2.8,88669
5/13/20,2.6,2.8,2.6,2.7,140418
05-12-20,2.3,2.6,2.2,2.4,72960
05-11-20,2.2,2.2,2.2,2.2,20000
3/20/20,2.4,2.4,2.2,2.2,355930
3/13/20,2.9,2.9,2.4,2.7,915231
03-12-20,3.2,3.2,2.8,2.9,240676
03-11-20,3,3.3,3,3.2,388539
03-10-20,3.1,3.2,2.8,3,847401
03-06-20,3.3,3.3,3.1,3.1,163739
03-05-20,3.4,3.4,3.2,3.3,161231
03-04-20,3.5,3.5,3.3,3.4,38254
03-03-20,3.6,3.7,3.4,3.5,73616
03-02-20,3.4,3.7,3.3,3.5,453270
2/28/20,3.5,3.5,3.2,3.3,527154
2/27/20,3.4,3.5,3.4,3.4,80256
2/26/20,3.5,3.5,3.3,3.5,506675
2/25/20,3.6,3.6,3.4,3.5,317967
2/24/20,3.6,3.6,3.5,3.6,295069
2/20/20,3.7,3.7,3.6,3.7,18801
2/19/20,3.6,3.7,3.6,3.7,80600
2/18/20,3.7,3.7,3.6,3.7,7905
2/17/20,3.7,3.7,3.5,3.7,155237
2/14/20,3.6,3.7,3.6,3.7,147044
2/13/20,3.6,3.7,3.6,3.7,55890
02-12-20,3.6,3.6,3.6,3.6,340540
02-11-20,3.6,3.7,3.6,3.7,165049
02-10-20,3.7,3.7,3.6,3.7,658831
02-07-20,3.7,3.8,3.7,3.8,104890
02-06-20,3.8,3.8,3.7,3.8,136125
02-05-20,3.8,3.8,3.7,3.8,2610
02-03-20,3.7,3.8,3.7,3.8,265945
1/31/20,3.8,3.9,3.7,3.8,91635
1/30/20,3.9,3.9,3.7,3.8,80396
1/29/20,3.8,4,3.8,3.9,371091
1/28/20,3.7,3.8,3.7,3.7,115603
1/27/20,3.7,3.8,3.7,3.7,69605
1/24/20,3.9,3.9,3.7,3.8,237952
1/23/20,3.9,3.9,3.8,3.9,115937
1/22/20,3.8,3.9,3.8,3.9,141000
1/21/20,3.8,3.8,3.8,3.8,423961
1/20/20,3.9,3.9,3.8,3.8,80500
1/17/20,3.9,3.9,3.8,3.8,524550
1/16/20,3.9,3.9,3.8,3.9,180244
1/14/20,4,4,3.9,3.9,380107
1/13/20,4,4.1,3.9,4,384803
01-09-20,3.8,4.1,3.8,4,1488508
01-08-20,3.9,3.9,3.7,3.8,846096
01-07-20,4.1,4.1,3.9,3.9,1019262
01-06-20,4.3,4.3,4,4,1003260
01-03-20,3.9,4.4,3.9,4.2,9200580
01-02-20,3.9,4,3.8,3.9,365373
12/31/19,4,4,3.8,3.9,626225
12/30/19,3.9,4.1,3.9,4,3219249
12/27/19,3.9,4,3.8,3.9,139961
12/26/19,3.8,3.9,3.8,3.9,127006
12/24/19,3.8,3.9,3.8,3.9,179950
12/23/19,3.8,3.9,3.7,3.7,316876
12/20/19,3.8,3.8,3.7,3.8,19666
12/19/19,3.8,3.8,3.7,3.8,3592
12/18/19,3.7,3.8,3.7,3.7,11841
12/17/19,3.8,3.8,3.7,3.8,482
12/16/19,3.8,3.9,3.6,3.8,322059
12/13/19,3.9,3.9,3.8,3.8,170189
12-12-19,3.8,4,3.8,3.9,253253
12-10-19,3.8,3.8,3.7,3.8,126912
12-09-19,3.9,3.9,3.7,3.8,568126
12-06-19,3.9,3.9,3.8,3.9,4816
12-05-19,3.9,3.9,3.8,3.9,15978
12-04-19,3.9,4,3.8,3.8,246331
12-03-19,4,4,3.8,3.9,607650
12-02-19,4,4.1,3.9,3.9,2272453
11/29/19,3.9,4,3.8,3.9,835030
11/28/19,3.9,4,3.8,3.8,116651
11/27/19,3.9,3.9,3.8,3.9,2361
11/26/19,3.9,4,3.8,3.8,107202
11/25/19,3.9,4,3.8,4,53383
11/22/19,3.9,4,3.8,4,65037
11/21/19,4,4,3.9,3.9,62300
11/20/19,4,4,3.8,3.9,650082
11/19/19,4.1,4.1,3.9,4,168108
11/18/19,4.1,4.1,3.8,4,1029626
11/15/19,3.9,4,3.9,4,30415
11/14/19,4,4.1,4,4,102011
11/13/19,4.1,4.1,3.9,4,793342
11-08-19,3.9,4.1,3.9,4,1034640
11-07-19,4,4,3.8,3.9,204658
11-06-19,3.9,4,3.9,4,295873
11-05-19,3.9,4,3.9,4,50548
11-04-19,4,4,3.8,4,483993
11-01-19,3.9,4.2,3.9,4,3179316
10/31/19,3.9,3.9,3.8,3.9,359022
10/30/19,3.8,3.9,3.7,3.9,50485
10/29/19,3.9,3.9,3.7,3.9,139500
10/28/19,3.9,3.9,3.7,3.9,65580
10/25/19,3.7,3.8,3.7,3.8,154538
10/24/19,3.8,3.9,3.8,3.8,28452
10/23/19,3.8,3.8,3.7,3.8,88446
10/22/19,3.7,3.8,3.7,3.8,31741
10/21/19,3.8,3.8,3.7,3.8,31000
10/18/19,3.8,3.8,3.7,3.7,292218
10/17/19,3.8,3.8,3.7,3.8,47270
10/16/19,3.8,3.8,3.8,3.8,20138
10/15/19,3.9,3.9,3.7,3.8,32724
10/14/19,3.7,3.9,3.7,3.8,851424
10-11-19,3.7,3.7,3.6,3.6,412395
10-10-19,3.7,3.8,3.6,3.7,121195
10-09-19,3.7,3.7,3.6,3.7,475088
10-08-19,3.8,3.8,3.6,3.7,803
10-07-19,3.7,3.7,3.6,3.7,101711
10-04-19,3.7,3.7,3.6,3.7,3950
10-03-19,3.6,3.7,3.6,3.6,202086
10-02-19,3.7,3.7,3.6,3.7,23000
10-01-19,3.8,3.8,3.6,3.7,143509
9/30/19,3.7,3.8,3.6,3.7,346512
9/27/19,3.8,3.8,3.7,3.8,170
9/26/19,3.7,3.8,3.6,3.7,29434
9/25/19,3.6,3.8,3.6,3.8,28710
9/24/19,3.6,3.7,3.5,3.6,182703
9/23/19,3.7,3.7,3.6,3.7,12791
9/20/19,3.7,3.8,3.6,3.7,76000
9/19/19,3.8,3.8,3.6,3.8,135210
9/18/19,3.6,3.8,3.6,3.8,4240
